treatment,repetition,humidity,salinity,length.l1,nr.leaves,day
Tt3,1,NA,NA,4,30.5,5
Tt3,2,NA,NA,5,37,5
Tt3,3,NA,NA,5,35.5,5
Tt3,4,NA,NA,4,26,5
Tt3,5,NA,NA,4,38,5
Tt3,6,NA,,3,21.5,5
Lc,1,40.4,1.47,4,25,5
Lc,2,43.5,1.84,6,28.5,5
Lc,3,39.6,1.44,6,26,5
Lc,4,46.1,1.37,2,9,5
Lc,5,37.5,1.68,9,24.5,5
Lc,6,38.6,1.42,7,28.5,5
Lt1,1,NA,NA,2,10,5
Lt1,2,NA,NA,11,26,5
Lt1,3,NA,NA,2,14,5
Lt1,4,NA,NA,2,21.5,5
Lt1,5,NA,NA,2,13,5
Lt1,6,NA,NA,3,14,5
Lt2,1,NA,NA,4,21.5,5
Lt2,2,NA,NA,6,25,5
Lt2,3,NA,NA,5,20.5,5
Lt2,4,NA,NA,5,17,5
Lt2,5,NA,NA,5,22,5
Lt2,6,NA,NA,7,22,5
Lt3,1,NA,NA,6,27,5
Lt3,2,NA,NA,7,22,5
Lt3,3,NA,NA,11,27,5
Lt3,4,NA,NA,8,31,5
Lt3,5,NA,NA,5,15,5
Lt3,6,NA,NA,3,21.5,5
